Distance,Distance_rescaled,Transect,Vulpes vulpes
799.369783,-0.168716625,Eshtaol Far,0
803.923403,-0.164473197,Eshtaol Far,0
804.69421,-0.163754897,Eshtaol Far,0
806.1972535,-0.162354241,Aderet Far,0
806.949265,-0.161653456,Eshtaol Far,0
819.2226878,-0.150216097,Aderet Far,1
825.4964354,-0.144369716,Eshtaol Far,1
831.9513607,-0.138354499,Aderet Far,3
840.884799,-0.130029606,Aderet Far,0
843.0447094,-0.128016828,Aderet Far,0
847.8555134,-0.123533735,Eshtaol Far,0
853.4591151,-0.11831185,Aderet Far,0
854.7473577,-0.117111362,Eshtaol Far,0
855.5358585,-0.116376574,Aderet Far,1
866.8379884,-0.105844343,Eshtaol Far,0
869.4620934,-0.103398992,Aderet Far,0
873.0906748,-0.100017589,Aderet Far,0
875.124862,-0.09812197,Eshtaol Far,0
882.0179357,-0.091698452,Aderet Far,2
887.6164244,-0.086481331,Eshtaol Far,2
887.675599,-0.086426188,Aderet Far,2
888.2722576,-0.085870173,Eshtaol Far,1
890.3310874,-0.083951591,Eshtaol Far,1
893.4905808,-0.081007321,Eshtaol Far,0
893.9972291,-0.080535186,Eshtaol Far,1
899.5338537,-0.075375715,Aderet Far,0
902.8036852,-0.072328624,Eshtaol Far,1
903.9703905,-0.071241395,Aderet Far,0
907.2225887,-0.068210736,Eshtaol Far,0
911.7401763,-0.064000886,Eshtaol Far,0
915.0531459,-0.060913595,Eshtaol Far,1
926.5724362,-0.050178997,Aderet Far,0
929.8385853,-0.047135337,Aderet Far,0
929.8385853,-0.047135337,Aderet Far,0
929.8385853,-0.047135337,Aderet Far,1
929.8385853,-0.047135337,Aderet Far,27
929.8385853,-0.047135337,Aderet Far,7
929.8385853,-0.047135337,Aderet Far,10
929.8385853,-0.047135337,Aderet Far,0
933.6894267,-0.043546815,Eshtaol Far,1
955.1410645,-0.023556459,Eshtaol Far,1
957.9271689,-0.020960144,Eshtaol Far,0
958.0948709,-0.020803866,Eshtaol Far,1
963.0411964,-0.016194483,Eshtaol Far,3
963.0411964,-0.016194483,Eshtaol Far,6
963.0411964,-0.016194483,Eshtaol Far,0
963.0411964,-0.016194483,Eshtaol Far,4
963.0411964,-0.016194483,Eshtaol Far,1
963.0411964,-0.016194483,Eshtaol Far,2
963.0411964,-0.016194483,Eshtaol Far,0
963.0411964,-0.016194483,Eshtaol Far,2
969.5366911,-0.01014146,Eshtaol Far,0
969.8763238,-0.009824964,Eshtaol Far,0
971.8748138,-0.00796261,Eshtaol Far,2
1016.322369,0.033457184,Eshtaol Far,3
1103.337921,0.11454525,Givat Yeshayahu Far,0
1111.927896,0.122550078,Givat Yeshayahu Far,0
1118.181692,0.128377866,Givat Yeshayahu Far,1
1159.742429,0.167107492,Givat Yeshayahu Far,3
1163.895602,0.170977751,Givat Yeshayahu Far,4
1165.586383,0.172553357,Givat Yeshayahu Far,0
1169.190947,0.175912378,Givat Yeshayahu Far,0
1202.035421,0.206519492,Givat Yeshayahu Far,0
1212.801811,0.216552477,Givat Yeshayahu Far,0
1232.493969,0.234903208,Givat Yeshayahu Far,1
1232.900687,0.235282221,Givat Yeshayahu Far,1
1240.986543,0.242817269,Givat Yeshayahu Far,0
1272.797954,0.272461692,Givat Yeshayahu Far,0
1309.589723,0.306747211,Givat Yeshayahu Far,0
1311.190749,0.308239176,Givat Yeshayahu Far,0
1315.536588,0.312288977,Givat Yeshayahu Far,3
1337.913072,0.333141178,Givat Yeshayahu Far,0
1354.766847,0.348846877,Givat Yeshayahu Far,0
1367.803101,0.360995103,Givat Yeshayahu Far,0
1371.435378,0.36437995,Givat Yeshayahu Far,1
1371.435378,0.36437995,Givat Yeshayahu Far,1
1371.435378,0.36437995,Givat Yeshayahu Far,0
1371.435378,0.36437995,Givat Yeshayahu Far,4
1371.435378,0.36437995,Givat Yeshayahu Far,0
1371.435378,0.36437995,Givat Yeshayahu Far,2
1371.435378,0.36437995,Givat Yeshayahu Far,1
1371.435378,0.36437995,Givat Yeshayahu Far,0
1394.437231,0.38581492,Givat Yeshayahu Far,1
1411.874442,0.402064311,Givat Yeshayahu Far,1
1427.960145,0.417054258,Givat Yeshayahu Far,1
1434.845839,0.4234709,Givat Yeshayahu Far,0
1444.701813,0.432655487,Givat Yeshayahu Far,1
1450.35527,0.437923831,Givat Yeshayahu Far,1
2114.100772,1.056455092,Amatzia Far,0
2124.092628,1.065766304,Amatzia Far,0
2134.446086,1.075414486,Amatzia Far,2
2146.562547,1.086705576,Amatzia Far,0
2150.973848,1.09081638,Amatzia Far,6
2174.199481,1.112459886,Amatzia Far,6
2175.621413,1.113784956,Amatzia Far,1
2181.730939,1.119478302,Amatzia Far,3
2188.188255,1.125495747,Amatzia Far,0
2242.063801,1.175701299,Amatzia Far,2
2244.940655,1.178382182,Amatzia Far,7
2300.869929,1.230501563,Amatzia Far,7
2309.087944,1.238159768,Amatzia Far,0
2309.087944,1.238159768,Amatzia Far,0
2309.087944,1.238159768,Amatzia Far,14
2309.087944,1.238159768,Amatzia Far,0
2309.087944,1.238159768,Amatzia Far,0
2324.504127,1.252525803,Amatzia Far,1
2328.325862,1.256087202,Amatzia Far,0
2358.068887,1.283804136,Amatzia Far,0
2359.391202,1.285036376,Amatzia Far,0
2763.917394,1.662006306,Amatzia Far,0
2775.426812,1.672731704,Amatzia Far,1
2792.566594,1.688703927,Amatzia Far,1
2798.662148,1.694384252,Amatzia Far,0
2817.306766,1.711758802,Amatzia Far,2
2836.889675,1.730007726,Amatzia Far,1
2894.803126,1.783976122,Amatzia Far,7
2956.986967,1.841924009,Amatzia Far,3
2984.854211,1.867892941,Amatzia Far,3
