Project,Subproject,Treatment,"Deployment Name","ID Type","Deployment ID","Sequence ID","Begin Time","End Time","Species Name","Common Name",Age,Sex,"Individually Identifiable",Count,"Actual Lat","Actual Lon",Fuzzed
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s21,2018-11-27T05:41:20,2018-11-27T05:41:21,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s22,2018-11-27T09:08:50,2018-11-27T09:08:51,"Gazella gazella","Mountain Gazelle",Adult,Female,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s23,2018-11-28T19:47:44,2018-11-28T19:47:45,"Vulpes vulpes","Red Fox",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s24,2018-11-29T03:49:54,2018-11-29T03:49:54,"Lepus capensis","Cape Hare",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s25,2018-11-29T03:51:13,2018-11-29T03:51:15,"Lepus capensis","Cape Hare",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s26,2018-11-29T13:56:32,2018-11-29T13:56:39,"Gazella gazella","Mountain Gazelle",Adult,Male,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s27,2018-11-29T16:44:22,2018-11-29T16:44:23,"Canis familiaris","Domestic Dog",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s29,2018-11-30T23:18:08,2018-11-30T23:18:10,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s30,2018-12-01T00:08:04,2018-12-01T00:08:05,"Vulpes vulpes","Red Fox",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s31,2018-12-04T14:47:47,2018-12-04T14:47:47,"No Animal","No Animal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s4,2018-11-21T01:20:52,2018-11-21T01:21:09,"Lepus capensis","Cape Hare",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s6,2018-11-21T02:01:49,2018-11-21T02:01:56,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s7,2018-11-21T05:13:39,2018-11-21T05:13:40,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s8,2018-11-21T05:24:35,2018-11-21T05:24:37,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Dry Shrub-steppe","T2_Beit Yatir Far 9",Researcher,d40827,d40827s9,2018-11-21T19:06:16,2018-11-21T19:06:17,"Vulpes vulpes","Red Fox",Unknown,Unknown,N,1,31.36937,35.12786,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 1",Researcher,d40288,d40288s1,2018-10-10T14:52:13,2018-10-10T14:52:13,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,33.08792,35.75156,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 1",Researcher,d40288,d40288s2,2018-10-20T17:07:04,2018-10-20T17:07:07,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,33.08792,35.75156,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s1,2018-10-10T14:43:53,2018-10-10T14:43:53,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s2,2018-10-12T15:28:23,2018-10-12T15:28:32,"Gazella gazella","Mountain Gazelle",Adult,Female,N,1,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s3,2018-10-13T07:25:02,2018-10-13T07:25:30,"Gazella gazella","Mountain Gazelle",Adult,Female,N,2,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s4,2018-10-14T18:18:34,2018-10-14T18:18:36,"Gazella gazella","Mountain Gazelle",Adult,Male,N,1,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s5,2018-10-16T06:57:49,2018-10-16T06:57:52,"Gazella gazella","Mountain Gazelle",Adult,Male,N,1,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s6,2018-10-19T06:36:55,2018-10-19T06:40:23,"Equus caballus","Domestic Horse",Unknown,Unknown,N,5,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s7,2018-10-19T18:16:16,2018-10-19T18:16:19,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s8,2018-10-20T08:11:48,2018-10-20T08:12:08,"Gazella gazella","Mountain Gazelle",Adult,Female,N,1,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Grassland","T2_Shaal Far 2",Researcher,d40289,d40289s9,2018-10-20T16:55:47,2018-10-20T16:55:47,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,33.08815,35.75046,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s1,2017-09-28T11:47:57,2017-09-28T11:48:07,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s10,2017-10-07T10:44:31,2017-10-07T10:44:41,"Sus scrofa","Wild Boar",Juvenile,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s11,2017-10-07T11:08:48,2017-10-07T11:11:17,"Sus scrofa","Wild Boar",Juvenile,Unknown,N,2,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s12,2017-10-11T22:26:18,2017-10-11T22:26:28,"Hystrix indica","Indian Crested Porcupine",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s13,2017-10-11T22:35:48,2017-10-11T22:35:58,"Hystrix indica","Indian Crested Porcupine",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s14,2017-10-11T22:37:18,2017-10-11T22:37:28,"Hystrix indica","Indian Crested Porcupine",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s15,2017-10-15T12:46:03,2017-10-15T12:46:08,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s2,2017-09-29T07:09:02,2017-09-29T07:09:12,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s3,2017-09-30T08:21:10,2017-09-30T08:21:20,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s4,2017-10-01T20:58:04,2017-10-01T20:58:14,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s5,2017-10-02T01:23:59,2017-10-02T01:24:09,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s6,2017-10-02T09:18:57,2017-10-02T09:19:07,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s7,2017-10-05T23:40:33,2017-10-05T23:41:10,"Canis aureus","Golden Jackal",Unknown,Unknown,N,2,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s8,2017-10-07T10:31:14,2017-10-07T10:32:15,"Sus scrofa","Wild Boar",Juvenile,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 3",Researcher,d40362,d40362s9,2017-10-07T10:35:06,2017-10-07T10:35:16,"Unknown Animal","Unknown Animal",Unknown,Unknown,N,1,32.96587,35.45915,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s1,2017-09-28T11:31:18,2017-09-28T11:31:21,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s10,2017-10-08T10:07:31,2017-10-08T10:08:19,"Bos taurus","Domestic Cow",Unknown,Female,N,2,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s11,2017-10-09T12:09:24,2017-10-09T12:09:35,"Sus scrofa","Wild Boar",Adult,Male,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s12,2017-10-10T12:41:23,2017-10-10T12:41:57,"Sus scrofa","Wild Boar",Adult,Female,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s12,2017-10-10T12:41:23,2017-10-10T12:41:57,"Sus scrofa","Wild Boar",Juvenile,Unknown,N,2,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s12,2017-10-10T12:41:23,2017-10-10T12:41:57,"Sus scrofa","Wild Boar",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s13,2017-10-14T01:10:09,2017-10-14T01:10:32,"Felis catus","Domestic Cat",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s14,2017-10-14T06:09:02,2017-10-14T06:09:05,"Unknown Animal","Unknown Animal",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s15,2017-10-15T10:46:59,2017-10-15T10:47:28,"Bos taurus","Domestic Cow",Unknown,Female,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s16,2017-10-15T10:51:38,2017-10-15T10:52:26,"Bos taurus","Domestic Cow",Unknown,Female,N,2,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s2,2017-09-29T21:20:19,2017-09-29T21:20:24,"Hystrix indica","Indian Crested Porcupine",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s3,2017-10-02T03:48:48,2017-10-02T03:48:51,"Hystrix indica","Indian Crested Porcupine",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s4,2017-10-02T14:30:48,2017-10-02T14:31:02,"Bos taurus","Domestic Cow",Unknown,Female,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s5,2017-10-02T14:38:21,2017-10-02T14:38:40,"Bos taurus","Domestic Cow",Unknown,Female,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s6,2017-10-02T23:11:34,2017-10-02T23:11:37,"Felis catus","Domestic Cat",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s7,2017-10-03T21:54:44,2017-10-03T21:54:56,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s8,2017-10-03T23:09:00,2017-10-03T23:09:22,"Sus scrofa","Wild Boar",Unknown,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 4",Researcher,d40363,d40363s9,2017-10-07T03:54:41,2017-10-07T03:55:12,"Sus scrofa","Wild Boar",Adult,Unknown,N,1,32.96518,35.45891,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s1,2017-09-28T10:51:27,2017-09-28T10:51:28,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s10,2017-10-03T09:14:09,2017-10-03T09:14:13,"Homo sapiens","Human non-staff",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s11,2017-10-05T02:23:54,2017-10-05T02:24:50,"Hystrix indica","Indian Crested Porcupine",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s12,2017-10-07T08:30:51,2017-10-07T08:30:56,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s13,2017-10-09T10:37:40,2017-10-09T10:38:02,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s14,2017-10-10T03:39:09,2017-10-10T03:39:13,"Sus scrofa","Wild Boar",Adult,Female,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s15,2017-10-10T09:17:25,2017-10-10T09:17:47,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s16,2017-10-12T09:19:52,2017-10-12T09:20:02,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s17,2017-10-15T10:57:33,2017-10-15T10:57:37,"Felis catus","Domestic Cat",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s18,2017-10-15T12:17:09,2017-10-15T12:17:09,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s2,2017-09-29T11:05:12,2017-09-29T11:05:29,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s3,2017-09-29T11:06:49,2017-09-29T11:07:06,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s4,2017-09-29T11:10:54,2017-09-29T11:10:58,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s5,2017-09-30T08:58:30,2017-09-30T08:58:34,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s6,2017-10-01T21:51:45,2017-10-01T21:52:00,"Canis aureus","Golden Jackal",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s7,2017-10-03T08:58:21,2017-10-03T08:58:25,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s8,2017-10-03T09:01:09,2017-10-03T09:01:21,"Homo sapiens","Human non-staff",Unknown,Unknown,N,2,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 8",Researcher,d40367,d40367s9,2017-10-03T09:07:43,2017-10-03T09:08:01,"Homo sapiens","Human non-staff",Unknown,Unknown,N,2,32.96372,35.4586,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 5",Researcher,d40364,d40364s1,2017-10-04T14:24:22,2017-10-04T14:24:26,"Sus scrofa","Wild Boar",Adult,Female,N,1,32.96422,35.45882,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 5",Researcher,d40364,d40364s2,2017-10-06T18:44:47,2017-10-06T18:44:50,"Sus scrofa","Wild Boar",Adult,Female,N,1,32.96422,35.45882,False
"HaMaarag Project","HaMaarag Long Term Biodiversity","HaMaarag Long Term Biodiversity:Mediterranean Maquis","T2_Kfar Shamai Far 5",Researcher,d40364,d40364s3,2017-10-07T07:03:03,2017-10-07T07:03:07,"Other Bird species","Other Bird species",Unknown,Unknown,N,1,32.96422,35.45882,False
