deployment_id,deployment_name,proposed_date_out,proposed_retrieval_date,actual_date_out,retrieval_date,proposed_lat,proposed_long,actual_lat,actual_long,fuzzed,project_id,project_name,sub_project_id,sub_project_name,sub_project_design,plot_name,plot_treatment,camera_failure_details,deployment_notes,bait_type,bait_description,feature,feature_type_methodology,image_resolution_setting,detection_distance,sensitivity_setting,quiet_period_setting,camera_id
"d40669","T2_Bat Shlomo KKL Plantings 4","","","2017-11-18","2017-12-06","","","32.58886","35.00919","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","12"
"d40668","T2_Bat Shlomo KKL Plantings 3","","","2017-11-18","2017-12-06","","","32.58876","35.00889","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","35"
"d40612","T2_Ramot Naftali KKL Plantings 1","","","2017-12-09","2017-12-18","33.09423","35.56086","33.09423","35.56086","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","1"
"d40672","T2_Bat Shlomo KKL Plantings 7","","","2017-11-18","2017-12-06","","","32.58872","35.01053","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","34"
"d40792","T2_Har Amasa Near 1","","","2018-11-24","2018-12-04","","","31.34394","35.09909","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","18"
"d40407","T2_Goren Near 3","","","2017-10-20","2017-11-08","","","33.05593","35.23114","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Near","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","10","high","","16A"
"d65206","T2_Ramat Hashofet KKL Plantings 1","","","2017-11-21","2017-11-30","","","32.61705","35.11165","False","p239","HaMaarag Project","sp1717","Hamaarag_Planted_Conifer_Forests_Carmel_T2","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest Carmel","","5","high","","23"
"d40733","T2_Amatzia KKL Plantings 5","","","2018-02-12","2018-03-02","","","31.51147","34.89381","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","20"
"d40671","T2_Bat Shlomo KKL Plantings 6","","","2017-11-18","2017-12-06","","","32.58869","35.01007","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Carmel","","10","high","","10"
"d40402","T2_Ein Yaakov Far 7","","","2017-10-20","2017-10-31","33.00263","35.23020","33.00263","35.23020","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","7"
"d40735","T2_Amatzia KKL Plantings 7","","","2018-02-12","2018-03-02","","","31.51251","34.89223","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","23"
"d40604","T2_Manara KKL Plantings 2","","","2017-12-08","2017-12-27","33.17133","35.55054","33.17133","35.55054","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","10","high","","8"
"d40729","T2_Amatzia KKL Plantings 1","","","2018-02-12","2018-03-02","","","31.50931","34.89336","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","35"
"d40396","T2_Ein Yaakov Far 1","","","2017-10-20","2017-11-08","","","33.00361","35.22711","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","10","high","","10A"
"d40731","T2_Amatzia KKL Plantings 3","","","2018-02-12","2018-03-02","","","31.51019","34.89484","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Judean Highlands","","10","high","","N6"
"d40613","T2_Ramot Naftali KKL Plantings 2","","","2017-12-08","2017-12-19","32.61729","35.11201","32.61729","35.11201","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Conifer Plantation","KKL Plantings","Camera Functioning","","No Bait","","Trail, game","Planted Conifer Forest   Galilee","","15","high","","2"
"d40322","T2_Karei Deshe Far 8","","","2018-09-12","2018-09-22","","","32.92264","35.58327","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Unknown Failure","","No Bait","","Trail, game","Herbaceous ","","10","high","","18"
"d40796","T2_Har Amasa Near 5","","","2018-11-24","2018-12-04","","","31.34551","35.09720","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","15"
"d40817","T2_Beit Yatir Near 8","","","2018-11-20","2018-12-04","","","31.35692","35.10852","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","8"
"d40365","T2_Kfar Shamai Far 6","","","2017-09-28","2017-10-15","32.96382","35.45853","32.96382","35.45853","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","6"
"d40314","T2_Gamla Far 9","","","2018-10-10","2018-10-20","","","32.91602","35.74253","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","3"
"d40794","T2_Har Amasa Near 3","","","2018-11-24","2018-12-04","","","31.34515","35.09835","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Unknown Failure","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","12"
"d40800","T2_Har Amasa Near 9","","","2018-11-24","2018-12-04","","","31.34308","35.09758","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","16"
"d40318","T2_Karei Deshe Far 4","","","2018-09-12","2018-09-22","","","32.92565","35.58205","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Unknown Failure","","No Bait","","Trail, game","Herbaceous ","","10","high","","7"
"d40798","T2_Har Amasa Near 7","","","2018-11-24","2018-12-04","","","31.34361","35.09646","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","17"
"d40323","T2_Karei Deshe Far 9","","","2018-09-12","2018-09-22","","","32.92194","35.58336","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","33"
"d40810","T2_Beit Yatir Near 1","","","2018-11-20","2018-12-04","","","31.35603","35.10696","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","7"
"d40294","T2_Shaal Far 7","","","2018-10-10","2018-10-20","","","33.08448","35.75016","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","18"
"d40307","T2_Gamla Far 2","","","2018-10-10","2018-10-20","","","32.92078","35.74547","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","15"
"d40310","T2_Gamla Far 5","","","2018-10-10","2018-10-20","","","32.91806","35.74540","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","14"
"d40823","T2_Beit Yatir Far 5","","","2018-11-20","2018-12-04","","","31.37165","35.12586","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","39"
"d40820","T2_Beit Yatir Far 2","","","2018-11-20","2018-12-04","","","31.37202","35.12437","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","24"
"d40368","T2_Kfar Shamai Far 9","","","2017-09-28","2017-10-15","32.96690","35.46807","32.96690","35.46807","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Mediterranean Maquis","Far","Camera Functioning","","No Bait","","Trail, game","Mediterranean Maquis   Galilee","","15","high","","9"
"d40320","T2_Karei Deshe Far 6","","","2018-09-12","2018-09-22","","","32.92413","35.58413","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","6"
"d40311","T2_Gamla Far 6","","","2018-10-10","2018-10-20","","","32.91743","35.74448","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","9"
"d40299","T2_Natur Far 3","","","2018-10-10","2018-10-20","","","32.84189","35.73779","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","21"
"d40815","T2_Beit Yatir Near 6","","","2018-11-20","2018-12-04","","","31.35731","35.10811","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","3"
"d40822","T2_Beit Yatir Far 4","","","2018-11-20","2018-12-04","","","31.37200","35.12525","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","28"
"d40295","T2_Shaal Far 8","","","2018-10-10","2018-10-20","","","33.08456","35.74910","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","16"
"d40808","T2_Har Amasa Far 8","","","2018-11-24","2018-12-04","","","31.33183","35.09156","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","35"
"d40296","T2_Shaal Far 9","","","2018-10-10","2018-10-20","","","33.08442","35.74829","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","33"
"d40825","T2_Beit Yatir Far 7","","","2018-11-20","2018-12-04","","","31.37072","35.12712","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","25"
"d40313","T2_Gamla Far 8","","","2018-10-10","2018-10-20","","","32.91627","35.74302","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","4"
"d40300","T2_Natur Far 4","","","2018-10-10","2018-10-20","","","32.84275","35.73751","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","25"
"d40797","T2_Har Amasa Near 6","","","2018-11-24","2018-12-04","","","31.34552","35.09644","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Unknown Failure","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","11"
"d40290","T2_Shaal Far 3","","","2018-10-10","2018-10-20","","","33.08813","35.74976","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","2"
"d40317","T2_Karei Deshe Far 3","","","2018-09-12","2018-09-22","","","32.92506","35.58101","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Unknown Failure","","No Bait","","Trail, game","Herbaceous ","","10","high","","16"
"d40816","T2_Beit Yatir Near 7","","","2018-11-20","2018-12-04","","","31.35730","35.10891","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","4"
"d40826","T2_Beit Yatir Far 8","","","2018-11-20","2018-12-04","","","31.36979","35.12757","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","27"
"d40793","T2_Har Amasa Near 2","","","2018-11-24","2018-12-04","","","31.34456","35.09874","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Unknown Failure","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","13"
"d40814","T2_Beit Yatir Near 5","","","2018-11-20","2018-12-04","","","31.35726","35.10750","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Near","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","2"
"d40309","T2_Gamla Far 4","","","2018-10-10","2018-10-20","","","32.91877","35.74599","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","9"
"d40806","T2_Har Amasa Far 6","","","2018-11-24","2018-12-04","","","31.33240","35.09237","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Camera Functioning","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","31"
"d40301","T2_Natur Far 5","","","2018-10-10","2018-10-20","","","32.84354","35.73716","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Grassland","Far","Camera Functioning","","No Bait","","Trail, game","Herbaceous ","","10","high","","23"
"d40801","T2_Har Amasa Far 1","","","2018-11-24","2018-12-04","","","31.33433","35.09324","False","p239","HaMaarag Project","sp1379","HaMaarag Long Term Biodiversity","","Dry Shrub-steppe","Far","Unknown Failure","","No Bait","","Trail, game","Desert Transition Zone","","10","high","","37"
